"Date","FieldNotes","FlowAdjustment"
"Date Assessed Saturday, 2018-03-10","Stream flow at 0.3 gpm. Ambient Air Temperature was 28 deg C. Temperature was 23.3 deg C. Recorded by YQC.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Monday, 2017-11-27","Streamflow is 103.7 cfs. Ambient Air Temperature was 28 deg C. Temperature was 30.7 deg C. Recorded by MIJ.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2016-11-19","flow was 91.6 cfs. Wadable conditions. Temperature was 31.2 deg C. Recorded by IOG.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Monday, 2018-08-20","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 26.2 deg C. Recorded by USC.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Wednesday, 2020-06-10","Stream flow at 120.8 cfs. Wadable conditions. Temperature was 28.2 deg C. Recorded by BNX.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2019-02-11","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 34.1 deg C. Recorded by QLY.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Sunday, 2021-09-26","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 30.3 deg C. Recorded by CNW.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Thursday, 2020-02-13","Stream flow at 0.2 gpm.  Temperature was 26.9 deg C. Recorded by XTP.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Sunday, 2021-05-30","Streamflow is 147.2 MGD. Wadable conditions. Temperature was 36.2 deg C. Recorded by YBL.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Saturday, 2017-01-21","flow was 95 cfs.  Temperature was 28 deg C. Recorded by FPY.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Monday, 2021-08-16","Streamflow is 0.2 gpm.  Temperature was 21.6 deg C. Recorded by BSV.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Sunday, 2019-07-07","Streamflow is 116.9 cfs. Wadable conditions. Temperature was 27.1 deg C. Recorded by MWU.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Sunday, 2018-09-16","flow was 84.6 cfs.  Temperature was 27.8 deg C. Recorded by INS.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Wednesday, 2019-05-29","flow was 0.2 gpm.  Temperature was 29.3 deg C. Recorded by GTQ.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Thursday, 2016-05-05","flow was 166.3 MGD. Wadable conditions. Temperature was 28 deg C. Recorded by RTF.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Wednesday, 2016-06-29","Streamflow is 95.6 cfs. Wadable conditions. Temperature was 35.1 deg C. Recorded by OYF.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Friday, 2020-11-20","flow was 0.2 gpm.  Temperature was 24.1 deg C. Recorded by KLP.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2018-10-06","Streamflow is 168.3 MGD. Ambient Air Temperature was 28 deg C. Temperature was 32.9 deg C. Recorded by ARF.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Wednesday, 2021-09-29","Streamflow is 97.3 cfs. Wadable conditions. Temperature was 31.3 deg C. Recorded by OEU.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Tuesday, 2021-08-10","flow was 0.2 gpm.  Temperature was 33.9 deg C. Recorded by GFD.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Saturday, 2020-10-24","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 28.6 deg C. Recorded by BUD.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Thursday, 2019-10-03","flow was 0.2 gpm.  Temperature was 21.1 deg C. Recorded by OTJ.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Wednesday, 2019-11-13","Streamflow is 101.9 cfs. Wadable conditions. Temperature was 32.1 deg C. Recorded by MDA.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Tuesday, 2019-05-14","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 21.2 deg C. Recorded by KQH.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Sunday, 2017-10-29","flow was 190.7 MGD. Ambient Air Temperature was 28 deg C. Temperature was 32.4 deg C. Recorded by HWS.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Friday, 2016-06-03","Streamflow is 135.9 MGD. Wadable conditions. Temperature was 21.9 deg C. Recorded by DXA.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Sunday, 2017-04-09","flow was 107.1 cfs. Wadable conditions. Temperature was 27.7 deg C. Recorded by QYI.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Monday, 2016-10-10","Stream flow at 176.7 MGD. Ambient Air Temperature was 28 deg C. Temperature was 27.6 deg C. Recorded by ODG.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Monday, 2016-03-28","Streamflow is 0.2 gpm.  Temperature was 34.8 deg C. Recorded by NOM.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Thursday, 2018-02-01","Streamflow is 162.1 MGD. Ambient Air Temperature was 28 deg C. Temperature was 29 deg C. Recorded by UBI.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2016-11-01","Streamflow is 175.6 MGD. Wadable conditions. Temperature was 29.7 deg C. Recorded by ASJ.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Tuesday, 2016-06-07","Stream flow at 0.2 gpm.  Temperature was 31.6 deg C. Recorded by WKA.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2016-12-05","flow was 105.7 cfs.  Temperature was 29.3 deg C. Recorded by NYR.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Wednesday, 2016-11-30","flow was 177.2 MGD.  Temperature was 23.1 deg C. Recorded by OPF.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Saturday, 2021-12-04","Stream flow at 164 MGD.  Temperature was 28.6 deg C. Recorded by KQL.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Monday, 2021-11-22","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 28.3 deg C. Recorded by FOR.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Sunday, 2021-12-05","flow was 0.2 gpm.  Temperature was 31.5 deg C. Recorded by XHN.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Saturday, 2016-07-23","flow was 140.4 MGD. Ambient Air Temperature was 28 deg C. Temperature was 27.5 deg C. Recorded by SMP.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Tuesday, 2021-03-16","Stream flow at 147.5 MGD. Ambient Air Temperature was 28 deg C. Temperature was 24.6 deg C. Recorded by GFK.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Wednesday, 2021-05-05","Streamflow is 165.8 MGD.  Temperature was 25.2 deg C. Recorded by FKT.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Wednesday, 2021-01-27","Stream flow at 101.6 cfs. Wadable conditions. Temperature was 28.1 deg C. Recorded by KWB.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Wednesday, 2021-04-21","Stream flow at 101.7 cfs. Wadable conditions. Temperature was 31.2 deg C. Recorded by OVT.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Monday, 2018-01-01","flow was 170.8 MGD. Ambient Air Temperature was 28 deg C. Temperature was 25.5 deg C. Recorded by SFM.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Sunday, 2020-11-29","flow was 170.4 MGD.  Temperature was 28.7 deg C. Recorded by BSE.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Wednesday, 2018-10-17","Stream flow at 115 cfs. Ambient Air Temperature was 28 deg C. Temperature was 31.8 deg C. Recorded by BCB.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2020-11-24","Streamflow is 143.3 MGD. Ambient Air Temperature was 28 deg C. Temperature was 29.9 deg C. Recorded by USN.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Friday, 2020-11-27","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 31.6 deg C. Recorded by MTG.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Friday, 2020-05-15","flow was 174.9 MGD. Wadable conditions. Temperature was 31 deg C. Recorded by PEG.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Monday, 2021-08-16","flow was 0.2 gpm.  Temperature was 24.1 deg C. Recorded by KWC.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Friday, 2020-02-14","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 25.5 deg C. Recorded by WWV.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Monday, 2021-06-14","Stream flow at 0.2 gpm.  Temperature was 30.1 deg C. Recorded by LEI.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Thursday, 2019-08-08","Streamflow is 88.1 cfs. Wadable conditions. Temperature was 30.3 deg C. Recorded by YXA.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Sunday, 2019-02-03","Stream flow at 146.3 MGD. Ambient Air Temperature was 28 deg C. Temperature was 27 deg C. Recorded by HTN.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Monday, 2021-01-04","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 24.8 deg C. Recorded by BAQ.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Thursday, 2020-11-05","Stream flow at 102.9 cfs. Wadable conditions. Temperature was 25.3 deg C. Recorded by BFE.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2020-06-16","Streamflow is 132.6 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.4 deg C. Recorded by YWT.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Thursday, 2019-11-21","Streamflow is 102.9 cfs. Ambient Air Temperature was 28 deg C. Temperature was 24.7 deg C. Recorded by TRB.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Thursday, 2018-11-15","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 26.9 deg C. Recorded by FIA.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2018-08-28","flow was 95.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 28 deg C. Recorded by BSA.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Friday, 2017-01-20","Streamflow is 100.7 cfs. Wadable conditions. Temperature was 32.6 deg C. Recorded by OWV.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Tuesday, 2020-09-15","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 21.1 deg C. Recorded by NRG.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Saturday, 2016-05-14","flow was 0.3 gpm. Wadable conditions. Temperature was 28.8 deg C. Recorded by IOV.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Thursday, 2019-03-14","Streamflow is 123.5 cfs. Wadable conditions. Temperature was 25.5 deg C. Recorded by SMA.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Thursday, 2021-02-18","Stream flow at 105 cfs. Ambient Air Temperature was 28 deg C. Temperature was 26.7 deg C. Recorded by NJJ.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Monday, 2018-10-15","Stream flow at 0.3 gpm. Wadable conditions. Temperature was 30.2 deg C. Recorded by GIQ.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Saturday, 2020-11-21","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 30.3 deg C. Recorded by TAM.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2016-11-11","flow was 0.2 gpm.  Temperature was 27 deg C. Recorded by EQX.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Saturday, 2016-11-26","flow was 143.2 MGD.  Temperature was 29.7 deg C. Recorded by FYQ.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Thursday, 2021-08-12","flow was 144 MGD.  Temperature was 22.8 deg C. Recorded by HBD.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2017-05-11","Stream flow at 98.5 cfs.  Temperature was 27.2 deg C. Recorded by JNS.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Friday, 2019-03-29","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 34.8 deg C. Recorded by CVS.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Sunday, 2020-04-26","flow was 167.9 MGD. Ambient Air Temperature was 28 deg C. Temperature was 32.1 deg C. Recorded by YHH.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2022-01-28","Streamflow is 0.2 gpm.  Temperature was 28.4 deg C. Recorded by PYU.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Tuesday, 2017-01-31","Streamflow is 92.5 cfs.  Temperature was 26.2 deg C. Recorded by QIS.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Thursday, 2021-12-16","Streamflow is 141.9 MGD. Ambient Air Temperature was 28 deg C. Temperature was 34.1 deg C. Recorded by DQX.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Sunday, 2018-04-01","flow was 83.7 cfs.  Temperature was 36.1 deg C. Recorded by IAT.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Saturday, 2017-11-11","Streamflow is 154 MGD.  Temperature was 25.8 deg C. Recorded by EOS.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Sunday, 2020-05-17","Stream flow at 172.5 MGD.  Temperature was 23.5 deg C. Recorded by KHP.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Monday, 2017-03-27","Streamflow is 81.8 cfs.  Temperature was 31.5 deg C. Recorded by SCR.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Wednesday, 2019-04-17","Streamflow is 91 cfs. Ambient Air Temperature was 28 deg C. Temperature was 33.7 deg C. Recorded by WKK.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Wednesday, 2020-01-22","Stream flow at 106.2 cfs. Ambient Air Temperature was 28 deg C. Temperature was 30.4 deg C. Recorded by IHA.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Friday, 2017-04-14","Streamflow is 116.6 cfs. Wadable conditions. Temperature was 27.1 deg C. Recorded by PVJ.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Saturday, 2021-04-10","Streamflow is 86.5 cfs. Wadable conditions. Temperature was 29.4 deg C. Recorded by XWB.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Tuesday, 2021-09-28","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 27.2 deg C. Recorded by GAH.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Wednesday, 2018-11-14","flow was 120 MGD. Wadable conditions. Temperature was 30.4 deg C. Recorded by WAI.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Wednesday, 2020-01-15","Stream flow at 0.2 gpm.  Temperature was 31.5 deg C. Recorded by FWJ.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Monday, 2019-01-14","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 29.6 deg C. Recorded by JFS.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Tuesday, 2019-12-10","Stream flow at 172.6 MGD. Wadable conditions. Temperature was 28.2 deg C. Recorded by AHM.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Monday, 2018-07-16","Streamflow is 154.3 MGD.  Temperature was 26.8 deg C. Recorded by UYN.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Friday, 2017-11-03","Streamflow is 84.3 cfs. Wadable conditions. Temperature was 32.2 deg C. Recorded by HAP.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Saturday, 2020-05-16","Stream flow at 143.9 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.4 deg C. Recorded by SFO.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Saturday, 2021-08-07","flow was 0.2 gpm.  Temperature was 29.5 deg C. Recorded by MHJ.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Saturday, 2017-07-08","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 27.4 deg C. Recorded by PCW.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Sunday, 2020-01-12","Streamflow is 97.2 cfs.  Temperature was 26.2 deg C. Recorded by THW.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Wednesday, 2018-04-11","Stream flow at 104.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 31.2 deg C. Recorded by EAC.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2020-12-28","Streamflow is 0.3 gpm. Wadable conditions. Temperature was 27.4 deg C. Recorded by DUE.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Wednesday, 2019-08-14","Streamflow is 99.4 cfs. Wadable conditions. Temperature was 29.2 deg C. Recorded by HBY.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Monday, 2020-10-05","flow was 137.8 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.9 deg C. Recorded by QTW.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Thursday, 2021-07-01","flow was 0.2 gpm. Wadable conditions. Temperature was 34 deg C. Recorded by TIA.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2019-11-15","flow was 0.3 gpm.  Temperature was 24.7 deg C. Recorded by MCE.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Wednesday, 2019-04-24","Stream flow at 177.7 MGD.  Temperature was 28.7 deg C. Recorded by PKQ.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Wednesday, 2019-11-20","Stream flow at 93 cfs.  Temperature was 29.7 deg C. Recorded by VUX.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Thursday, 2017-10-19","flow was 102.5 cfs. Wadable conditions. Temperature was 27.8 deg C. Recorded by DNQ.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Wednesday, 2018-04-04","Streamflow is 86.1 cfs. Wadable conditions. Temperature was 28.5 deg C. Recorded by LBM.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2018-04-03","Stream flow at 162.1 MGD. Wadable conditions. Temperature was 30.9 deg C. Recorded by TBR.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2022-01-11","Streamflow is 0.3 gpm.  Temperature was 22 deg C. Recorded by JQU.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Wednesday, 2020-12-09","Streamflow is 163.7 MGD. Wadable conditions. Temperature was 29.1 deg C. Recorded by XWI.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Wednesday, 2016-09-21","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 33.5 deg C. Recorded by YYY.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2018-09-18","flow was 94.6 cfs.  Temperature was 26.2 deg C. Recorded by AUN.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Sunday, 2018-10-21","flow was 83.3 cfs.  Temperature was 31.5 deg C. Recorded by YFI.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2018-10-19","Streamflow is 130.4 MGD. Ambient Air Temperature was 28 deg C. Temperature was 29.2 deg C. Recorded by SJP.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Tuesday, 2020-04-07","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 25 deg C. Recorded by PXF.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Thursday, 2018-05-24","Streamflow is 144.4 MGD.  Temperature was 27.3 deg C. Recorded by BJC.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2020-04-28","flow was 99.9 cfs.  Temperature was 23.6 deg C. Recorded by IUY.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Thursday, 2017-01-05","flow was 169.4 MGD. Wadable conditions. Temperature was 26 deg C. Recorded by JNU.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Saturday, 2022-01-22","Stream flow at 158.2 MGD.  Temperature was 29.5 deg C. Recorded by VTV.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2016-06-23","Stream flow at 106.7 cfs. Wadable conditions. Temperature was 27.3 deg C. Recorded by SYV.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Sunday, 2018-08-05","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 33.4 deg C. Recorded by SJC.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Wednesday, 2017-07-26","Stream flow at 98.7 cfs. Wadable conditions. Temperature was 27.5 deg C. Recorded by JWT.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Sunday, 2020-08-23","flow was 90.3 cfs.  Temperature was 26.3 deg C. Recorded by KAX.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Tuesday, 2019-04-30","Streamflow is 110.2 cfs. Ambient Air Temperature was 28 deg C. Temperature was 21.4 deg C. Recorded by UCB.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Friday, 2019-03-08","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 27.6 deg C. Recorded by NGP.","Flow was scaled by constant factor of 0.3 to account for science"
