"SiteID","Latitude","Longitude","OBJECTID_1","TMDL_EQ_ID","PROJECT","WSHD_ID","INSERTED_BY","INSERTED_DATE","CHANGED_BY","CHANGED_DATE","OBJECTID","PJ_ID","PJ_NAME","WSHD_NAME","PJ_RPT_EPA_APPRVD_DT","PJ_RPT_FINAL_APPRVD_LINK","PJ_RPT_SWCB_APPRVD_DT","PROJECT_STATUS","POL_NAME","IMP_NAME","REGION","Shape_Length","Shape_Area"
"Site 8",37.365318,-79.956827,822,"POL0712",107,"30002",,,,,67477,"0107","Roanoke (Staunton) River Watershed","Tinker Creek",1270771200000,"https://www.deq.virginia.gov/home/showdocument?id=11365&t=637692144926300000",1291852800000,"Approved","PCB","Polychlorinated biphenyls","WCRO",116781.005594445,459264196.396398
"Site 9",37.24955,-79.943387,296,"POL0710",107,"00283","AFE77272",1511804956000,"AFE77272",1511804956000,68210,"0107","Roanoke (Staunton) River Watershed","Roanoke River",1270771200000,"https://www.deq.virginia.gov/home/showdocument?id=11365&t=637692144926300000",1291852800000,"Approved","PCB","Polychlorinated biphenyls","WCRO",167571.747412801,440805860.835806
"Site 9",37.24955,-79.943387,328,"POL0259",99,"00292",,,"afe77272",1447690528000,68059,"0099","Upper Roanoke River Watershed","Roanoke River",1154476800000,"https://www.deq.virginia.gov/home/showdocument?id=11383&t=637692145033970000",1182902400000,"Approved","E. Coli","Escherichia coli","WCRO",332769.356533746,1809069264.36216
"Site 9",37.24955,-79.943387,618,"POL0262",1085,"00293",,,,,67891,"1085","Upper Roanoke River Watershed","Roanoke River",1147219200000,"https://www.deq.virginia.gov/home/showdocument?id=11381&t=637692145019900000",1157587200000,"Approved","Sediment","Benthic-Macroinvertebrate Bioassessments (Streams)","WCRO",334576.731554764,2060555665.25766
"Site 10",37.066667,-78.958333,412,"POL0048",23,"00047",,,,,68001,"0023","Falling River Watershed","Falling River",1089331200000,"https://www.deq.virginia.gov/home/showdocument?id=11339&t=637692137903670000",1101945600000,"Approved","E. Coli","Escherichia coli","WCRO",164684.717236012,967341528.430199
"Site 11",36.627502,-80.288611,91,"POL0136",78,"00129",,,,,67676,"0078","South Mayo River Watershed","South Mayo River",1.07784e+12,"https://www.deq.virginia.gov/home/showdocument?id=11369&t=637692144945970000",1087430400000,"Approved","E. Coli","Escherichia coli","WCRO",140903.14833907,507422618.853325
"Site 11",36.627502,-80.288611,917,"POL0617",171,"01708",,,,,67603,"0171","Dan River Watershed","South Mayo River",1228694400000,"https://www.deq.virginia.gov/home/showdocument?id=11337&t=637692137869300000",1240876800000,"Approved","E. Coli","Escherichia coli","WCRO",140903.14833907,507422618.853325
"Site 12",36.57995,-79.428251,315,"POL0618",171,"00380",,,"afe77272",1450879913000,68040,"0171","Dan River Watershed","Dan River",1228694400000,"https://www.deq.virginia.gov/home/showdocument?id=11337&t=637692137869300000",1240876800000,"Approved","E. Coli","Escherichia coli","WCRO",872787.83415392,7621503110.33145
"Site 13",36.579799,-79.427712,315,"POL0618",171,"00380",,,"afe77272",1450879913000,68040,"0171","Dan River Watershed","Dan River",1228694400000,"https://www.deq.virginia.gov/home/showdocument?id=11337&t=637692137869300000",1240876800000,"Approved","E. Coli","Escherichia coli","WCRO",872787.83415392,7621503110.33145
"Site 14",36.783053,-80.003705,322,"879",171,"L52R-01-BAC",,,"afe77272",1450879112000,68047,"0171","Dan River Watershed","Smith River",1228694400000,"https://www.deq.virginia.gov/home/showdocument?id=11337&t=637692137869300000",1240876800000,"Approved","E. Coli","Escherichia coli","WCRO",296583.576983226,1471492487.6269
"Site 14",36.783053,-80.003705,726,"POL0763",168,"00375",,,,,67449,"0168","Smith River","Smith River",1294876800000,"https://www.deq.virginia.gov/home/showdocument?id=13123&t=637775901373659458",,"Approved","PAH","Benthic-Macroinvertebrate Bioassessments (Streams)","WCRO",336441.549555506,2128498480.65291
"Site 15",36.951112,-79.351669,,,,,,,,,,,,,,,,,,,,,
"Site 16",36.99861,-80.723612,,,,,,,,,,,,,,,,,,,,,
"Site 17",37.335081,-80.757731,666,"2259",11383,"99740","KPC74529",1553592914000,"KPC74529",1553593003000,68259,"11383","New River PCB","Lower New River",1552348800000,"https://www.deq.virginia.gov/home/showdocument?id=10940&t=637692050892730000",1544659200000,"Approved","PCB","PCB in Fish Tissue","WCRO",706875.217929694,3637842467.85183
